id,abs_magnitude,min_est_diameter,max_est_diameter,relative_velocity
3753583,24.922,0.0275521172,0.0616084069,78734.4166946516
3736681,21.2,0.1529519353,0.3420109247,78315.4205603726
2226514,20.1,0.2538370294,0.5675968529,103175.288522033
3674619,21.3,0.1460679643,0.3266178974,70196.2949857435
3608670,25.1,0.0253837029,0.0567596853,26652.6316355531
3754379,23.9,0.04411182,0.0986370281,66714.445751377
3644702,20.2,0.2424124811,0.5420507863,111504.8797219505
3295788,22.1,0.1010543415,0.2259643771,73776.7003242251
3719859,27.5,0.008405334,0.0187948982,10614.6348832276
3019647,20.6,0.2016299194,0.4508582062,86093.1610697923
2208115,20.7,0.1925550782,0.4305662442,45195.7160412241
2265482,21.0,0.1677084622,0.3750075218,28188.935033802
3145497,22.7,0.0766575574,0.1714115092,33067.5438243637
2455148,21.1,0.160160338,0.358129403,27865.7324448839
3758926,21.9,0.1108038821,0.2477650126,58358.4086513135
3182172,20.0,0.2658,0.5943468684,98651.5895654888
3724393,21.1,0.160160338,0.358129403,84985.1883800323
3736406,22.2,0.096506147,0.2157943048,43290.9558640091
3479011,20.4,0.2210828104,0.4943561926,27511.4941226015
2420286,18.8,0.4619074603,1.0328564805,75772.4774379127
3720004,25.4,0.022108281,0.0494356193,22689.0747571857
3739011,21.3,0.1460679643,0.3266178974,96590.0782751162
2196068,18.0,0.6676594135,1.4929318344,131337.2272620143
2299582,18.0,0.6676594135,1.4929318344,50930.1104989234
3014110,21.3,0.1460679643,0.3266178974,72157.670933539
3167348,21.9,0.1108038821,0.2477650126,107349.084170284
3373683,19.4,0.3503926411,0.7835017643,33497.5158818422
2163818,18.4,0.5553349116,1.2417666126,51487.7662573229
3696401,30.4,0.0022108281,0.0049435619,14252.8709592455
2465617,21.4,0.1394938229,0.3119176705,23657.5486063545
3373174,21.1,0.160160338,0.358129403,38583.07457782
3429819,21.8,0.1160259082,0.2594418179,25621.5886809621
3713008,25.8,0.0183888672,0.0411187571,38197.4999597366
3606220,20.9,0.1756123185,0.3926810818,80688.2226378973
3772396,20.62,0.1997813652,0.4467247133,53305.2878287028
2010563,16.8,1.1602590821,2.5944181791,126759.3417645534
3772993,27.197,0.0096639567,0.0216092642,33853.4765095356
3698476,24.8,0.0291443905,0.0651688382,27250.007181125
3606252,20.6,0.2016299194,0.4508582062,67250.2329044824
3600242,19.9,0.2783267681,0.6223575734,142613.3484392713
3742049,21.6,0.1272198785,0.2844722965,60384.9341050445
3751527,25.8,0.0183888672,0.0411187571,22779.5791062883
2413577,20.3,0.2315021222,0.5176544822,104479.9778381306
3402198,24.6,0.0319561887,0.0714562102,38073.2523561889
3549618,21.0,0.1677084622,0.3750075218,47673.4490679298
3552653,21.9,0.1108038821,0.2477650126,23987.9551373657
3608934,19.2,0.3841978911,0.8590926012,20184.9267088822
2434326,18.4,0.5553349116,1.2417666126,72315.4374809842
2138947,18.7,0.4836764882,1.0815335068,24679.9869006496
3601274,21.3,0.1460679643,0.3266178974,89479.8740648023
3735995,27.2,0.0096506147,0.0215794305,22401.4263560795
2382406,20.5,0.2111324448,0.4721064988,59175.0740772734
3691712,25.0,0.02658,0.0594346868,15184.6635071361
2299582,18.0,0.6676594135,1.4929318344,72035.2287055742
2309214,20.4,0.2210828104,0.4943561926,24006.7797462887
2004769,16.9,1.1080388213,2.4776501261,80102.6094281958
3666431,24.7,0.0305179233,0.0682401509,29028.4727067253
3102758,21.5,0.1332155667,0.2978790628,51849.8491710586
3336867,22.6,0.0802703167,0.1794898848,28460.1249425179
3704144,23.4,0.0555334912,0.1241766613,11556.524014049
3440397,20.1,0.2538370294,0.5675968529,112062.8027896715
3143084,24.3,0.0366906138,0.0820427065,45330.2544143606
3728574,25.4,0.022108281,0.0494356193,18049.0331508903
3771633,26.692,0.0121942467,0.0272671645,22186.4465504222
3013039,20.8,0.1838886721,0.411187571,64391.487966751
3550041,23.1,0.063760979,0.1425738833,56830.8968698201
3759005,26.3,0.0146067964,0.0326617897,57659.0191078586
3714452,20.6,0.2016299194,0.4508582062,85563.8955112723
3698489,26.5,0.0133215567,0.0297879063,27971.7904794871
3448069,22.8,0.0732073989,0.1636967205,42003.6823083186
3408697,22.9,0.0699125232,0.1563291544,17336.6121920187
2385186,17.7,0.7665755735,1.7141150923,44802.5884177892
3766334,23.0,0.0667659413,0.1492931834,36446.1577133148
3685808,19.7,0.3051792326,0.6824015094,70678.2402888682
2482533,19.7,0.3051792326,0.6824015094,70168.5045681674
3367027,18.8,0.4619074603,1.0328564805,110935.0117831579
3522123,20.8,0.1838886721,0.411187571,40225.4488653552
3182184,25.3,0.0231502122,0.0517654482,13223.8152231097
3752445,24.183,0.03872175,0.0865844652,15351.3219127977
2488490,21.7,0.1214940408,0.2716689341,28491.753680544
3364640,23.2,0.0608912622,0.1361570015,48438.3630770867
3766361,22.5,0.0840533402,0.1879489824,53848.425393445
2152671,20.1,0.2538370294,0.5675968529,26522.7100979012
3177202,25.7,0.0192555078,0.0430566244,45133.2203297486
3552665,23.7,0.0483676488,0.1081533507,32476.5331710091
3662636,21.3,0.1460679643,0.3266178974,51869.3998375004
3393169,20.0,0.2658,0.5943468684,92090.6601731651
3723951,20.5,0.2111324448,0.4721064988,116459.9662847533
2138258,19.1,0.4023045798,0.8995803882,75434.0692764892
3443811,21.8,0.1160259082,0.2594418179,44721.0390076369
3429846,20.8,0.1838886721,0.411187571,32113.8201793311
2458116,20.3,0.2315021222,0.5176544822,51302.6828527972
3385825,23.6,0.0506471459,0.1132504611,24306.7441302779
3522123,20.8,0.1838886721,0.411187571,46704.1384403312
2005604,17.2,0.9650614696,2.1579430484,45830.8146851521
2333578,20.2,0.2424124811,0.5420507863,68139.4664854346
3127389,22.4,0.0880146521,0.1968067451,49788.5611157816
2470975,21.4,0.1394938229,0.3119176705,15711.3934797969
2477719,25.2,0.0242412481,0.0542050786,17961.99341909
3174201,20.4,0.2210828104,0.4943561926,69098.2854897564
3256319,21.3,0.1460679643,0.3266178974,51208.4080797415
3722517,23.6,0.0506471459,0.1132504611,29769.8802437066
3388081,21.4,0.1394938229,0.3119176705,140611.5087226308
3741563,25.0,0.02658,0.0594346868,26807.4148733965
2494710,20.7,0.1925550782,0.4305662442,56241.8760700912
2489486,19.4,0.3503926411,0.7835017643,33497.5158868348
3761485,24.6,0.0319561887,0.0714562102,40618.2711126996
3476134,20.7,0.1925550782,0.4305662442,75970.3037329217
2374267,18.9,0.4411182,0.9863702813,92326.4918878025
3600106,28.6,0.0050647146,0.0113250461,19617.5926094791
3699887,20.8,0.1838886721,0.411187571,17800.1686497356
3025766,22.1,0.1010543415,0.2259643771,53532.7080358248
3699506,21.0,0.1677084622,0.3750075218,35227.2342897677
2388945,20.4,0.2210828104,0.4943561926,74124.0143970588
2401954,18.8,0.4619074603,1.0328564805,56617.078303345
3588846,20.6,0.2016299194,0.4508582062,42468.9712453966
3005956,19.3,0.3669061375,0.8204270649,91423.5525481118
3754269,27.5,0.008405334,0.0187948982,43314.7073068087
3776278,21.457,0.1358798243,0.3038365239,34845.5177570235
3610178,23.4,0.0555334912,0.1241766613,25728.1179635531
3025767,21.7,0.1214940408,0.2716689341,28491.8284222259
3591721,20.4,0.2210828104,0.4943561926,97634.7684887371
3127391,22.3,0.0921626549,0.2060819612,37591.3175310115
2455594,18.0,0.6676594135,1.4929318344,137403.4212491616
2152680,19.4,0.3503926411,0.7835017643,72412.0249411066
3549618,21.0,0.1677084622,0.3750075218,95436.2136433637
2153349,18.5,0.5303407233,1.1858779086,60405.5270810977
3102762,24.1,0.040230458,0.0899580388,39621.7446733638
3667048,27.1,0.0101054342,0.0225964377,16510.511888467
2164202,20.8,0.1838886721,0.411187571,34801.3305472906
3476130,18.6,0.5064714588,1.1325046106,135380.1497866024
3151655,22.4,0.0880146521,0.1968067451,51914.473369438
3550084,19.0,0.4212646106,0.9419763057,131540.6739854941
3249347,21.3,0.1460679643,0.3266178974,51805.5252406178
2418094,19.3,0.3669061375,0.8204270649,73830.1155693682
3772846,26.286,0.0147012742,0.0328730484,36793.3557752723
3454895,25.5,0.0211132445,0.0472106499,47956.4369152189
3666411,21.8,0.1160259082,0.2594418179,59893.2331968625
3342322,22.8,0.0732073989,0.1636967205,41150.6153565336
3463161,22.0,0.1058168859,0.2366137501,7915.599031681
3184154,25.2,0.0242412481,0.0542050786,32789.2511238379
2314082,17.5,0.8405334021,1.8794898244,76521.0623977573
3727640,25.3,0.0231502122,0.0517654482,43237.5351320614
2486692,19.3,0.3669061375,0.8204270649,78115.0405644277
3765702,25.3,0.0231502122,0.0517654482,41926.0009352609
3748472,26.9,0.0110803882,0.0247765013,14676.8070827064
3660059,26.5,0.0133215567,0.0297879063,26761.4850228577
2490354,21.3,0.1460679643,0.3266178974,44238.7989420674
2482796,19.5,0.3346223745,0.7482383761,54337.5705173551
3691155,26.3,0.0146067964,0.0326617897,54855.271930775
3558387,20.6,0.2016299194,0.4508582062,41114.8604048184
3532395,20.4,0.2210828104,0.4943561926,66547.34694189
3557843,20.6,0.2016299194,0.4508582062,34706.8695890506
2162882,18.8,0.4619074603,1.0328564805,76929.8350327538
3607924,18.6,0.5064714588,1.1325046106,27506.3492583029
2136818,18.9,0.4411182,0.9863702813,33998.7290828428
3559842,21.1,0.160160338,0.358129403,141588.6306590556
3602934,24.4,0.0350392641,0.0783501764,30874.4168990713
2387648,19.4,0.3503926411,0.7835017643,51321.4585895603
3714003,24.3,0.0366906138,0.0820427065,44357.2098169565
3672669,20.3,0.2315021222,0.5176544822,43894.962158485
3532365,21.3,0.1460679643,0.3266178974,28228.2880341284
3028805,20.8,0.1838886721,0.411187571,31567.8519924054
3740342,21.9,0.1108038821,0.2477650126,76318.2568917302
3766185,20.4,0.2210828104,0.4943561926,92978.3560364726
3744790,21.3,0.1460679643,0.3266178974,84920.2446914345
3611400,25.0,0.02658,0.0594346868,43626.6358322947
3723766,22.3,0.0921626549,0.2060819612,63514.2088044022
3463175,19.7,0.3051792326,0.6824015094,93920.7211749612
2468910,21.5,0.1332155667,0.2978790628,48303.128158033
3529600,23.4,0.0555334912,0.1241766613,40149.0921267684
3761549,19.5,0.3346223745,0.7482383761,64898.161603866
3744320,26.9,0.0110803882,0.0247765013,35465.9300879758
3102728,20.8,0.1838886721,0.411187571,60790.823008267
2417419,20.9,0.1756123185,0.3926810818,53988.5525771426
2450894,18.3,0.5815070396,1.30028927,92336.5347319613
3740046,24.9,0.0278326768,0.0622357573,23088.2395182901
3512346,22.0,0.1058168859,0.2366137501,47927.5285978577
3589591,23.9,0.04411182,0.0986370281,95553.8433941504
2066391,16.5,1.332155667,2.978790628,82388.0116405177
2174881,18.0,0.6676594135,1.4929318344,150704.221211582
2365014,20.2,0.2424124811,0.5420507863,41842.732013478
3662198,22.4,0.0880146521,0.1968067451,33873.2478236226
3741151,28.5,0.0053034072,0.0118587791,29872.35766466
3733862,30.6,0.0020162992,0.0045085821,58318.18554118
3756758,20.1,0.2538370294,0.5675968529,77255.0797373179
2100085,17.8,0.7320739893,1.6369672047,37765.7723223655
3438960,21.1,0.160160338,0.358129403,77419.4452760599
3092385,19.2,0.3841978911,0.8590926012,55405.8349905704
3645087,20.6,0.2016299194,0.4508582062,36714.117397522
3740496,23.3,0.058150704,0.130028927,54804.3259563191
3580055,25.5,0.0211132445,0.0472106499,49536.3372547244
2465824,21.7,0.1214940408,0.2716689341,54378.6897272076
3631822,21.0,0.1677084622,0.3750075218,39998.0694208691
2006037,18.7,0.4836764882,1.0815335068,56112.999301202
3184470,22.2,0.096506147,0.2157943048,32113.8365516103
2418849,20.7,0.1925550782,0.4305662442,67798.3803836807
2443103,18.0,0.6676594135,1.4929318344,41491.6184793499
3324630,18.0,0.6676594135,1.4929318344,72533.7554137243
3605006,25.3,0.0231502122,0.0517654482,54741.7229753804
2354182,20.7,0.1925550782,0.4305662442,26189.8288927779
2434326,18.4,0.5553349116,1.2417666126,51067.9143358999
3713303,20.2,0.2424124811,0.5420507863,86968.6034386648
2433303,22.1,0.1010543415,0.2259643771,16354.9289497365
3552523,24.9,0.0278326768,0.0622357573,33616.871865778
2004581,20.7,0.1925550782,0.4305662442,26333.8707224598
2378160,19.5,0.3346223745,0.7482383761,46608.2725487026
3158120,19.0,0.4212646106,0.9419763057,31780.094337908
2001566,16.9,1.1080388213,2.4776501261,76768.6298756285
2357439,19.3,0.3669061375,0.8204270649,43805.3328795902
2483459,20.3,0.2315021222,0.5176544822,66806.7627538256
3372216,26.1,0.0160160338,0.0358129403,29667.7343518057
3755345,21.5,0.1332155667,0.2978790628,58295.0479290595
3608620,23.6,0.0506471459,0.1132504611,53857.4604544537
2088254,17.6,0.8027031673,1.7948988478,43685.9610886951
3666783,20.3,0.2315021222,0.5176544822,55490.6599830742
3604307,21.7,0.1214940408,0.2716689341,30347.9482914898
2467336,20.5,0.2111324448,0.4721064988,71154.4041508957
3709401,23.1,0.063760979,0.1425738833,17496.2793639268
3467216,19.8,0.2914439045,0.6516883822,60897.9179767334
2482796,19.5,0.3346223745,0.7482383761,39259.5238686236
2443103,18.0,0.6676594135,1.4929318344,59168.8451313972
3092310,22.7,0.0766575574,0.1714115092,17940.4203777333
3092220,20.0,0.2658,0.5943468684,113591.6967618681
3345301,22.6,0.0802703167,0.1794898848,24798.1091096372
3693145,23.0,0.0667659413,0.1492931834,85830.8540919131
2141851,17.7,0.7665755735,1.7141150923,144342.7867316887
2234145,21.3,0.1460679643,0.3266178974,29998.8975762165
3661459,26.3,0.0146067964,0.0326617897,20243.0227023496
3263615,20.3,0.2315021222,0.5176544822,14183.5807548144
3758927,21.1,0.160160338,0.358129403,68633.1807684318
2267729,18.3,0.5815070396,1.30028927,42594.4056454056
3703783,24.9,0.0278326768,0.0622357573,27045.4357040376
3164413,23.3,0.058150704,0.130028927,38814.9847859668
2455176,20.6,0.2016299194,0.4508582062,107134.958747493
3508146,21.7,0.1214940408,0.2716689341,70865.4587894654
2022753,17.7,0.7665755735,1.7141150923,53840.4715224461
2395289,18.3,0.5815070396,1.30028927,118162.0967501066
3579078,19.6,0.3195618867,0.7145621017,73652.8319390412
2163454,18.9,0.4411182,0.9863702813,68834.1958371479
2085990,20.2,0.2424124811,0.5420507863,26634.9409029271
2024443,16.4,1.3949382293,3.1191767052,103691.0145052948
2168378,16.9,1.1080388213,2.4776501261,13637.5446709434
3720978,20.3,0.2315021222,0.5176544822,44505.6366810877
2420286,18.8,0.4619074603,1.0328564805,67068.8195606773
3532366,23.6,0.0506471459,0.1132504611,38934.4958458348
3741556,21.3,0.1460679643,0.3266178974,71882.3665447484
3407946,20.8,0.1838886721,0.411187571,61490.661137536
3022970,20.5,0.2111324448,0.4721064988,67988.8818367139
3686148,20.5,0.2111324448,0.4721064988,40557.4907292209
2297418,18.5,0.5303407233,1.1858779086,54952.2769202215
3521439,21.4,0.1394938229,0.3119176705,78377.5089821545
3743745,26.5,0.0133215567,0.0297879063,49642.727113346
3177204,21.0,0.1677084622,0.3750075218,78699.3986809174
2065679,19.4,0.3503926411,0.7835017643,21492.9058919391
2428694,19.4,0.3503926411,0.7835017643,76332.7492230164
3727337,18.4,0.5553349116,1.2417666126,95534.4773753428
2438908,20.5,0.2111324448,0.4721064988,52669.9223561336
3699447,20.9,0.1756123185,0.3926810818,39103.8700011271
3638287,24.5,0.0334622374,0.0748238376,51132.0974672016
2262623,18.6,0.5064714588,1.1325046106,53544.7040675843
3751815,22.8,0.0732073989,0.1636967205,42265.4885399758
3151655,22.4,0.0880146521,0.1968067451,64542.7639892466
3735686,24.0,0.0421264611,0.0941976306,85017.937830633
3467355,19.9,0.2783267681,0.6223575734,56195.3771223329
3125003,21.2,0.1529519353,0.3420109247,35605.434793812
3752729,21.2,0.1529519353,0.3420109247,85987.7488062457
3402364,24.9,0.0278326768,0.0622357573,33043.6315623671
3661368,21.1,0.160160338,0.358129403,92787.8193437893
2177049,19.7,0.3051792326,0.6824015094,41784.8073566771
3580964,26.3,0.0146067964,0.0326617897,30734.8836707373
3551475,23.7,0.0483676488,0.1081533507,49903.1411867989
2068347,19.9,0.2783267681,0.6223575734,46639.9334558196
3760542,23.6,0.0506471459,0.1132504611,23698.0246555931
3549694,20.0,0.2658,0.5943468684,65354.180957014
2434632,19.8,0.2914439045,0.6516883822,35935.5845361485
3350632,21.2,0.1529519353,0.3420109247,75534.1373776122
3134264,20.8,0.1838886721,0.411187571,72302.1979625644
3773594,25.793,0.0184482416,0.0412515222,53197.6433137286
3011573,21.5,0.1332155667,0.2978790628,73216.3660403828
3655553,22.0,0.1058168859,0.2366137501,12169.0980954144
3740806,21.2,0.1529519353,0.3420109247,14315.6911120808
3656926,25.0,0.02658,0.0594346868,23969.0726187813
3092296,24.3,0.0366906138,0.0820427065,40292.43667439
3579078,19.6,0.3195618867,0.7145621017,80508.0342822664
3472299,20.9,0.1756123185,0.3926810818,76098.7063033812
3249980,24.4,0.0350392641,0.0783501764,47744.0389580976
3614399,22.9,0.0699125232,0.1563291544,30231.3438091751
2438661,19.4,0.3503926411,0.7835017643,39381.9080090522
3719196,26.1,0.0160160338,0.0358129403,16759.7229360863
2433953,20.8,0.1838886721,0.411187571,44689.341697533
3485969,27.0,0.0105816886,0.023661375,13913.18329789
2090416,18.7,0.4836764882,1.0815335068,87708.4402273942
3755203,19.5,0.3346223745,0.7482383761,100868.7666630539
2367248,20.0,0.2658,0.5943468684,41757.999117516
2138971,18.4,0.5553349116,1.2417666126,43490.3678524112
2411165,21.8,0.1160259082,0.2594418179,48959.812692225
3772759,28.15,0.0062309602,0.0139328506,31054.6721191721
3674103,21.5,0.1332155667,0.2978790628,38515.5896023116
3620867,23.4,0.0555334912,0.1241766613,73874.1059381765
3605760,20.8,0.1838886721,0.411187571,89298.3400442658
3597091,23.3,0.058150704,0.130028927,31509.6569495625
3414402,19.7,0.3051792326,0.6824015094,94852.3216501195
2467352,21.3,0.1460679643,0.3266178974,61595.932992098
2350536,19.7,0.3051792326,0.6824015094,53324.480877732
2450237,22.9,0.0699125232,0.1563291544,19744.3345245072
3746620,23.4,0.0555334912,0.1241766613,94878.9841922791
3409708,19.6,0.3195618867,0.7145621017,38945.5780096199
3152317,21.2,0.1529519353,0.3420109247,41544.1311317478
3273524,21.3,0.1460679643,0.3266178974,52648.1472198913
2230111,19.1,0.4023045798,0.8995803882,57099.7954065881
3603627,23.5,0.0530340723,0.1185877909,41104.8213988446
3728860,22.9,0.0699125232,0.1563291544,79077.7584819698
3686082,18.7,0.4836764882,1.0815335068,81298.971349987
3445599,26.8,0.0116025908,0.0259441818,34715.7674255148
3606253,21.9,0.1108038821,0.2477650126,48883.7036804854
3078262,20.1,0.2538370294,0.5675968529,56293.0323118945
3486442,22.0,0.1058168859,0.2366137501,44491.7624006498
2068347,19.9,0.2783267681,0.6223575734,33754.5630708949
2455184,20.8,0.1838886721,0.411187571,45605.1598201156
3595889,19.9,0.2783267681,0.6223575734,3750.0241507721
3648643,24.5,0.0334622374,0.0748238376,46791.2814534806
2279744,19.8,0.2914439045,0.6516883822,45124.1311392216
3781344,21.959,0.1078338166,0.2411237442,47793.3122699478
3711785,21.6,0.1272198785,0.2844722965,11757.2670638563
2487577,21.2,0.1529519353,0.3420109247,57147.410034063
2357022,19.1,0.4023045798,0.8995803882,60379.0831510294
3299947,21.3,0.1460679643,0.3266178974,91648.6392680564
3014792,20.9,0.1756123185,0.3926810818,30770.1860428988
3423604,21.6,0.1272198785,0.2844722965,76490.6942195428
2085236,18.6,0.5064714588,1.1325046106,57631.934515918
3618493,28.7,0.0048367649,0.0108153351,10973.636862394
3367721,24.6,0.0319561887,0.0714562102,49407.9695022452
3614398,25.5,0.0211132445,0.0472106499,60496.342298266
2085938,18.6,0.5064714588,1.1325046106,48435.8588414014
3518265,26.1,0.0160160338,0.0358129403,16757.2025109454
3745504,21.7,0.1214940408,0.2716689341,113607.1873161047
2468727,20.8,0.1838886721,0.411187571,40225.44838851
3736502,21.4,0.1394938229,0.3119176705,60813.8044090031
3738553,25.0,0.02658,0.0594346868,26988.4258170382
3484640,20.2,0.2424124811,0.5420507863,48648.9826893625
2041429,20.6,0.2016299194,0.4508582062,51264.25694469
