category,beverage,option,calories,total_carbohydrates(g),total_fat(g),protein(g),cholesterol(mg),caffeine(mg)
Classic Espresso Drinks,Skinny Latte (Any Flavour),Grande Nonfat Milk,120,160,0.3,12.0,18,150
Signature Espresso Drinks,Caramel Macchiato,Grande Nonfat Milk,190,130,1.0,11.0,35,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Short Nonfat Milk,60,80,0.1,6.0,9,75
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230,190,0.2,4.0,53,0
Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130,150,0.3,13.0,19,150
Classic Espresso Drinks,Caffè Americano,Tall,10,10,0.0,1.0,2,150
Classic Espresso Drinks,Cappuccino,Soymilk,70,65,3.0,5.0,7,75
Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,80,90,0.2,8.0,12,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti Nonfat Milk,250,180,0.3,15.0,47,150
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,240,170,5.0,4.0,47,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall Nonfat Milk,150,110,0.2,9.0,28,75
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,170,95,4.0,7.0,26,25
Classic Espresso Drinks,Caffè Americano,Grande,15,15,0.0,1.0,3,225
Classic Espresso Drinks,Cappuccino,Soymilk,120,110,4.5,9.0,11,150
Classic Espresso Drinks,Caffè Latte,Soymilk,110,105,4.5,8.0,10,75
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,110,30,1.0,2.0,23,125
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310,250,4.0,5.0,67,110
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180,160,0.1,3.0,42,70
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,270,190,4.5,12.0,47,75
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,130,70,1.5,7.0,26,10
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220,170,3.0,4.0,47,75
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,210,0.1,3.0,26,95
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,310,140,6.0,11.0,50,80
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,200,160,3.0,3.0,42,70
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,170,45,1.5,3.0,34,170
Classic Espresso Drinks,Caffè Latte,2% Milk,150,135,6.0,10.0,15,75
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,250,125,7.0,12.0,41,25
Frappuccino® Blended Coffee,Coffee,Soymilk,310,300,2.5,5.0,68,130
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350,240,6.0,15.0,61,150
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,150,80,4.5,7.0,26,10
Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200,270,0.1,5.0,44,120
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,240,180,2.0,3.0,51,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,140,75,3.0,5.0,23,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,260,190,4.0,4.0,53,0
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,200,125,6.0,7.0,31,75
Smoothies,Orange Mango Banana Smoothie,Soymilk,270,120,1.5,15.0,53,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Soymilk,180,160,1.5,3.0,37,0
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,340,290,2.5,5.0,75,130
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,260,220,1.0,4.0,61,110
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,460,290,13.0,16.0,70,150
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,280,115,4.5,8.0,51,120
Coffee,Brewed Coffee,Short,3,5,0.1,0.3,0,175
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tall Nonfat Milk,210,125,0.4,11.0,42,55
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,290,140,9.0,14.0,47,180
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,370,220,10.0,13.0,56,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,130,80,3.5,6.0,18,75
Frappuccino® Blended Coffee,Coffee,Whole Milk,350,300,5.0,5.0,70,130
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,240,115,4.5,8.0,45,95
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,190,95,4.0,7.0,31,0
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,210,120,5.0,9.0,31,150
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,210,15,0.0,0.0,53,0
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,380,200,11.0,17.0,63,30
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Grande,280,20,0.0,0.0,70,0
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,390,300,6.0,6.0,80,140
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti Nonfat Milk,450,310,7.0,19.0,78,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short Nonfat Milk,180,120,3.0,7.0,31,75
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,120,65,0.1,5.0,23,0
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420,340,5.0,7.0,90,145
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430,330,8.0,6.0,88,145
Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110,150,0.5,3.0,24,70
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,60,4,0.0,0.2,15,120
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Venti Nonfat Milk,320,180,3.0,18.0,63,30
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,210,100,4.0,7.0,34,0
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,340,180,11.0,17.0,53,180
Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150,200,0.1,3.0,33,90
Signature Espresso Drinks,Caramel Macchiato,2% Milk,300,180,8.0,13.0,43,150
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,260,220,1.5,3.0,58,100
Signature Espresso Drinks,Caramel Macchiato,Short Nonfat Milk,100,70,1.0,6.0,17,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Short Nonfat Milk,100,70,0.1,6.0,19,75
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,120,55,2.0,4.0,22,50
Smoothies,Strawberry Banana Smoothie,Soymilk,290,120,2.0,16.0,58,0
Classic Espresso Drinks,Skinny Latte (Any Flavour),Tall Nonfat Milk,100,125,0.2,9.0,14,75
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,160,50,0.1,4.0,36,125
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,310,240,6.0,4.0,65,110
Signature Espresso Drinks,Caramel Macchiato,Soymilk,100,60,3.0,4.0,14,75
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,350,180,8.0,14.0,57,80
Classic Espresso Drinks,Cappuccino,2% Milk,120,100,4.0,8.0,12,150
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,260,140,8.0,13.0,42,175
Classic Espresso Drinks,Caffè Americano,Venti,25,15,0.0,1.0,4,300
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160,270,0.1,5.0,34,120
Smoothies,Orange Mango Banana Smoothie,Grande Nonfat Milk,260,120,1.0,16.0,54,15
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,200,160,2.5,3.0,42,70
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90,160,0.1,3.0,20,70
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,80,25,0.1,2.0,18,90
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,200,115,6.0,10.0,32,95
Smoothies,Banana Chocolate Smoothie,2% Milk,300,160,5.0,20.0,53,15
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,140,10,0.0,0.0,35,0
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,180,150,1.5,2.0,40,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Venti Nonfat Milk,260,135,0.3,10.0,57,120
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti Nonfat Milk,280,160,3.0,17.0,54,180
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170,160,0.1,4.0,39,0
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,260,140,6.0,10.0,41,55
Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150,170,3.0,4.0,30,70
Classic Espresso Drinks,Skinny Latte (Any Flavour),Venti Nonfat Milk,160,200,0.3,15.0,24,150
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,170,80,3.5,6.0,27,0
Smoothies,Banana Chocolate Smoothie,Soymilk,290,150,4.5,19.0,51,15
Classic Espresso Drinks,Caffè Latte,2% Milk,190,170,7.0,12.0,19,150
Smoothies,Strawberry Banana Smoothie,2% Milk,290,125,2.0,16.0,58,0
Frappuccino® Blended Coffee,Coffee,Soymilk,160,150,1.5,2.0,35,70
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Whole Milk,200,160,3.5,3.0,39,0
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,220,170,4.0,3.0,45,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,160,95,4.0,7.0,23,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,280,170,8.0,10.0,42,75
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Short Nonfat Milk,100,50,0.1,4.0,22,50
Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210,280,1.0,6.0,46,130
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,180,55,2.0,4.0,36,170
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,320,200,9.0,15.0,46,150
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310,260,0.2,6.0,70,0
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,330,160,9.0,15.0,55,30
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,150,85,0.2,7.0,31,0
Classic Espresso Drinks,Cappuccino,2% Milk,150,135,6.0,10.0,16,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande Nonfat Milk,200,140,0.3,12.0,37,150
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,220,210,0.1,4.0,51,70
Classic Espresso Drinks,Caffè Latte,Venti Nonfat Milk,170,190,0.4,16.0,25,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,250,150,6.0,12.0,37,150
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,230,110,4.5,9.0,36,55
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,370,300,5.0,5.0,78,130
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,230,105,7.0,11.0,37,175
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,220,90,3.5,6.0,41,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,160,70,2.5,5.0,31,70
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,350,260,6.0,6.0,70,0
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,200,95,6.0,9.0,32,20
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,170,135,1.5,3.0,37,0
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,130,60,3.5,6.0,23,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,230,120,7.0,10.0,37,20
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,180,85,5.0,9.0,28,95
Classic Espresso Drinks,Cappuccino,2% Milk,80,70,3.0,5.0,8,75
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,190,90,3.5,6.0,34,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Soymilk,110,45,1.5,3.0,20,50
Classic Espresso Drinks,Caffè Latte,Soymilk,190,170,7.0,13.0,16,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,400,250,11.0,15.0,61,150
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,350,290,3.0,6.0,78,140
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,110,30,0.1,2.0,24,90
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,270,160,7.0,12.0,39,150
Classic Espresso Drinks,Caffè Latte,2% Milk,100,85,3.5,6.0,10,75
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,310,300,0.1,6.0,70,95
Signature Espresso Drinks,Caramel Macchiato,2% Milk,240,150,7.0,10.0,34,150
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Venti,360,25,0.0,0.0,89,0
Frappuccino® Blended Coffee,Coffee,Soymilk,220,210,1.5,3.0,49,95
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,450,230,10.0,17.0,72,110
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Short Nonfat Milk,110,60,1.5,7.0,21,85
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,340,300,1.0,7.0,80,140
Signature Espresso Drinks,Caramel Macchiato,Soymilk,200,115,5.0,9.0,29,150
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,280,220,0.1,4.0,60,100
Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220,240,4.0,5.0,43,105
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,190,140,3.0,3.0,38,0
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,180,110,5.0,6.0,28,75
Classic Espresso Drinks,Cappuccino,Short Nonfat Milk,50,60,0.1,5.0,8,75
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,290,160,9.0,14.0,47,25
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall Nonfat Milk,170,100,2.0,10.0,32,95
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,320,250,3.2,5.0,67,0
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460,340,10.0,7.0,90,145
Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100,140,0.1,3.0,23,65
Frappuccino® Blended Coffee,Coffee,Whole Milk,240,220,3.0,3.0,50,95
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240,230,0.1,5.0,56,0
Classic Espresso Drinks,Caffè Latte,Soymilk,70,65,2.5,5.0,6,75
Classic Espresso Drinks,Cappuccino,Soymilk,50,40,1.5,3.0,4,75
Classic Espresso Drinks,Cappuccino,Soymilk,100,80,3.5,7.0,9,150
Signature Espresso Drinks,Caramel Macchiato,2% Milk,120,80,4.0,5.0,16,75
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,80,45,0.1,4.0,16,0
Classic Espresso Drinks,Caffè Latte,Short Nonfat Milk,70,75,0.1,6.0,10,75
Tazo® Tea Drinks,Tazo® Green Tea Latte,Grande Nonfat Milk,290,160,0.5,14.0,57,80
Coffee,Brewed Coffee,Grande,5,10,0.1,1.0,0,330
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,390,180,8.0,14.0,64,110
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande Nonfat Milk,240,140,2.5,14.0,48,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Venti Nonfat Milk,370,200,0.5,18.0,73,110
Tazo® Tea Drinks,Tazo® Chai Tea Latte,2% Milk,310,150,6.0,10.0,56,120
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,280,220,3.5,3.0,60,100
Classic Espresso Drinks,Caffè Latte,2% Milk,240,220,9.0,16.0,24,150
Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150,200,1.0,4.0,33,95
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,130,60,2.5,4.0,21,0
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,290,220,4.0,4.0,61,110
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,340,250,7.0,5.0,67,110
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,330,290,0.1,5.0,78,130
Classic Espresso Drinks,Caffè Americano,Short,5,5,0.0,0.4,1,75
Frappuccino® Blended Coffee,Coffee,Whole Milk,180,160,2.5,3.0,36,70
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Tall,60,0,0.0,0.0,15,170
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,260,220,2.5,4.0,59,110
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande Nonfat Milk,220,125,2.5,13.0,43,175
Classic Espresso Drinks,Caffè Latte,Tall Nonfat Milk,100,120,0.2,10.0,15,75
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,140,70,3.0,6.0,22,25
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,90,50,2.0,3.0,15,0
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,160,160,0.1,3.0,36,0
Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290,320,5.0,7.0,58,165
Classic Espresso Drinks,Espresso,Solo,5,0,0.0,0.4,1,75
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),2% Milk,130,70,4.0,6.0,21,85
Coffee,Brewed Coffee,Tall,4,10,0.1,0.5,0,260
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,80,20,1.0,2.0,17,90
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170,140,0.1,3.0,39,0
Classic Espresso Drinks,Espresso,Doppio,10,1,0.0,1.0,2,150
Signature Espresso Drinks,Caramel Macchiato,Soymilk,250,140,7.0,11.0,36,150
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Soymilk,110,55,3.5,6.0,19,85
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tall Nonfat Milk,160,80,0.2,6.0,34,70
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Soymilk,110,60,2.5,5.0,16,75
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,230,125,5.0,9.0,38,0
Signature Espresso Drinks,Caramel Macchiato,2% Milk,180,115,5.0,8.0,25,75
Classic Espresso Drinks,Cappuccino,Venti Nonfat Milk,110,120,0.2,10.0,16,150
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,120,35,1.5,2.0,24,125
Signature Espresso Drinks,Caramel Macchiato,Venti Nonfat Milk,240,170,1.0,13.0,43,150
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,180,150,2.0,3.0,40,70
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,90,5,0.1,0.3,21,165
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,80,40,1.5,3.0,14,0
Signature Espresso Drinks,Caramel Macchiato,Soymilk,150,90,4.5,7.0,21,75
Smoothies,Strawberry Banana Smoothie,Grande Nonfat Milk,290,125,1.0,16.0,58,0
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,190,110,0.2,9.0,39,0
Classic Espresso Drinks,Cappuccino,2% Milk,90,80,3.5,6.0,9,75
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,180,150,0.5,3.0,42,130
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall Nonfat Milk,190,110,2.0,11.0,37,20
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),2% Milk,200,125,5.0,9.0,28,75
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,130,5,0.1,0.4,31,235
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Grande Nonfat Milk,210,105,0.2,8.0,45,95
Classic Espresso Drinks,Caffè Latte,Soymilk,150,130,5.0,10.0,13,150
Signature Espresso Drinks,Caramel Macchiato,Tall Nonfat Milk,140,105,1.0,8.0,25,75
Smoothies,Orange Mango Banana Smoothie,2% Milk,270,125,1.5,16.0,53,0
Classic Espresso Drinks,Cappuccino,Tall Nonfat Milk,60,70,0.1,6.0,9,75
Coffee,Brewed Coffee,Venti,5,10,0.1,1.0,0,410
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,310,200,9.0,11.0,46,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,510,330,15.0,19.0,77,150
Tazo® Tea Drinks,Tazo® Green Tea Latte,Short Nonfat Milk,130,85,0.2,7.0,26,25
