title,country,province,region_1,region_2,winery,points,price
L'Ecole No. 41 2016 Chardonnay (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,L'Ecole No. 41,91.5,22.8
Hanging Vine 2007 Parcel 4 Chardonnay (Lodi),US,California,Lodi,Central Valley,Hanging Vine,82.3,12.8
Irony 2008 Pinot Noir (Monterey County),US,California,Monterey County,Central Coast,Irony,85.4,15.6
Sonoma-Cutrer 2008 Russian River Ranches Chardonnay (Sonoma Coast),US,California,Sonoma Coast,Sonoma,Sonoma-Cutrer,92.8,23.3
Gibbs 2013 Money Road Vineyard Merlot (Oakville),US,California,Oakville,Napa,Gibbs,85.0,24.7
Testarossa 2011 Cuvée Los Gatos Pinot Noir (Monterey County),US,California,Monterey County,Central Coast,Testarossa,87.1,27.9
Cooper Station 2013 Cabernet Sauvignon (Lodi),US,California,Lodi,Central Valley,Cooper Station,86.7,11.6
Zaca Mesa 2011 Roussanne (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Zaca Mesa,88.8,26.0
Pali 2014 Huntington Pinot Noir (Santa Barbara County),US,California,Santa Barbara County,Central Coast,Pali,91.1,25.0
Cycles Gladiator 2007 Pinot Grigio (Central Coast),US,California,Central Coast,Central Coast,Cycles Gladiator,82.6,10.2
Joseph Jewell 2010 Pinot Noir (Russian River Valley),US,California,Russian River Valley,Sonoma,Joseph Jewell,87.9,33.0
Williams Selyem 2010 Eastside Road Neighbors Pinot Noir (Russian River Valley),US,California,Russian River Valley,Sonoma,Williams Selyem,90.2,52.2
Swanson 2012 Salon Wine Selection Chardonnay (Napa Valley),US,California,Napa Valley,Napa,Swanson,87.2,45.9
Iron Horse 2010 Rued Clone Chardonnay (Green Valley),US,California,Green Valley,Sonoma,Iron Horse,93.1,49.0
Sanguis 2009 Some Poets Syrah (Santa Barbara County),US,California,Santa Barbara County,Central Coast,Sanguis,91.2,75.2
Groth 2007 Cabernet Sauvignon (Oakville),US,California,Oakville,Napa,Groth,87.0,55.4
Jarvis 2009 Estate Grown Merlot (Napa Valley),US,California,Napa Valley,Napa,Jarvis,91.8,95.5
Vine Cliff 2004 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Vine Cliff,92.2,55.3
Merryvale 2010 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Merryvale,91.8,65.5
Millbrook 2013 Proprietor's Special Reserve Merlot (New York),US,New York,New York,New York Other,Millbrook,87.3,35.7
Coquelicot 2013 Mon Amor Red (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Coquelicot,91.4,45.5
Foppiano 2015 Della's Block Chardonnay (Russian River Valley),US,California,Russian River Valley,Sonoma,Foppiano,91.9,37.7
Big Basin 2012 Coastview Vineyard Syrah (Monterey County),US,California,Monterey County,Central Coast,Big Basin,93.8,48.5
Louis M. Martini 2013 Monte Rosso Vineyard Cabernet Sauvignon (Sonoma Valley),US,California,Sonoma Valley,Sonoma,Louis M. Martini,90.3,90.0
Lemelson 2014 Jerome Reserve Pinot Noir (Willamette Valley),US,Oregon,Willamette Valley,Willamette Valley,Lemelson,89.2,60.4
Burrell School Vineyards 2013 High School Sweethearts Cabernet Franc-Merlot (Santa Cruz Mountains),US,California,Santa Cruz Mountains,Central Coast,Burrell School Vineyards,86.4,39.5
Herman Story 2013 On the Road Grenache (California),US,California,California,California Other,Herman Story,91.0,48.4
MCV 2015 Grenache (Paso Robles),US,California,Paso Robles,Central Coast,MCV,92.3,42.4
The Farm Winery 2012 The Big Game Red (Adelaida District),US,California,Adelaida District,Central Coast,The Farm Winery,93.8,75.5
Cuvaison 2015 Estate Grown Pinot Noir (Carneros),US,California,Carneros,Napa-Sonoma,Cuvaison,91.0,42.4
Jacob Franklin 2007 #50 Mon Chou Red (Napa Valley),US,California,Napa Valley,Napa,Jacob Franklin,88.6,55.1
Ripken 2012 Zinfandel (Lodi),US,California,Lodi,Central Valley,Ripken,88.6,35.3
Michel-Schlumberger 2001 La Brume Chardonnay (Dry Creek Valley),US,California,Dry Creek Valley,Sonoma,Michel-Schlumberger,87.1,30.9
Talley 2014 Rincon Vineyard Estate Bottled Pinot Noir (Arroyo Grande Valley),US,California,Arroyo Grande Valley,Central Coast,Talley,93.4,64.0
Elk Cove 2015 Clay Court Pinot Noir (Chehalem Mountains),US,Oregon,Chehalem Mountains,Willamette Valley,Elk Cove,91.0,60.0
J. Jacaman 2006 Pinot Noir (Marin County),US,California,Marin County,North Coast,J. Jacaman,88.9,42.3
Aaron 2012 Petite Sirah (Paso Robles),US,California,Paso Robles,Central Coast,Aaron,92.0,44.6
Clos La Chance 2009 Erwin Vineyard Pinot Noir (Santa Cruz Mountains),US,California,Santa Cruz Mountains,Central Coast,Clos La Chance,91.1,51.0
Paix Sur Terre 2014 Comes a Time Alta Colina Vineyard Mourvèdre (Adelaida District),US,California,Adelaida District,Central Coast,Paix Sur Terre,91.9,53.0
Dry Creek Vineyard 2013 The Mariner Meritage (Dry Creek Valley),US,California,Dry Creek Valley,Sonoma,Dry Creek Vineyard,90.6,46.0
Venge 2012 Bone Ash Vineyard Cabernet Sauvignon (Calistoga),US,California,Calistoga,Napa,Venge,95.7,105.1
Silver Oak 2006 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Silver Oak,90.6,100.7
Von Strasser 2010 Reserve Red (Diamond Mountain District),US,California,Diamond Mountain District,Napa,Von Strasser,95.6,135.5
Chappellet 1999 Pritchard Hill Estate Vineyard Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Chappellet,92.0,110.2
Stewart 2014 Nomad Beckstoffer Las Piedras Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Stewart,94.2,175.9
Alpha Omega 2010 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),US,California,Rutherford,Napa,Alpha Omega,91.5,140.2
Sbragia 2013 Neal Cabernet Sauvignon (Howell Mountain),US,California,Howell Mountain,Napa,Sbragia,92.8,121.0
Oak Mountain 2011 The Cave Reserve Cabernet Sauvignon (Temecula Valley),US,California,Temecula Valley,South Coast,Oak Mountain,86.3,100.6
Cielo 2015 Three Sixty-Five Viognier (Saddle Rock-Malibu),US,California,Saddle Rock-Malibu,South Coast,Cielo,88.3,100.2
Alpha Omega 2012 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Alpha Omega,93.9,108.4
On Q 2010 Appassionata Red (Napa Valley),US,California,Napa Valley,Napa,On Q,91.0,117.2
Dalla Valle 1999 Maya Red (Napa Valley),US,California,Napa Valley,Napa,Dalla Valle,96.9,120.4
Baldacci 2008 Brenda's Vineyard Cabernet Sauvignon (Stags Leap District),US,California,Stags Leap District,Napa,Baldacci,95.4,105.6
Pont de Chevalier 2009 Cabernet Sauvignon (Knights Valley),US,California,Knights Valley,Sonoma,Pont de Chevalier,92.6,115.7
Merryvale 2011 Profile Red (Napa Valley),US,California,Napa Valley,Napa,Merryvale,91.4,175.5
DeLille 2008 Grand Ciel Cabernet Sauvignon (Red Mountain),US,Washington,Red Mountain,Columbia Valley,DeLille,93.3,140.3
Freestone 2008 Quarter Moon Vineyard Pinot Noir (Sonoma Coast),US,California,Sonoma Coast,Sonoma,Freestone,94.2,100.6
Stonestreet 2010 Christopher's Cabernet Sauvignon (Alexander Valley),US,California,Alexander Valley,Sonoma,Stonestreet,94.2,100.4
Sodaro 2013 Estate Cabernet Sauvignon (Coombsville),US,California,Coombsville,Napa,Sodaro,92.0,150.4
Lachini 2014 Prima Pinot Noir (Chehalem Mountains),US,Oregon,Chehalem Mountains,Willamette Valley,Lachini,91.5,100.3
ZD 2013 Reserve Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,ZD,90.4,210.2
Joseph Phelps 2013 Insignia 40th Vintage Estate Grown Red (Napa Valley),US,California,Napa Valley,Napa,Joseph Phelps,98.6,250.5
The Vineyard House 2011 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,The Vineyard House,94.6,200.5
Diamond Creek 2014 Red Rock Terrace Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Diamond Creek,94.1,225.9
Hors Categorie 2014 Syrah (Walla Walla Valley (OR)),US,Oregon,Walla Walla Valley (OR),Oregon Other,Hors Categorie,96.9,240.7
Darioush 2013 Darius II Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Darioush,92.9,245.8
Alpha Omega 2012 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),US,California,Rutherford,Napa,Alpha Omega,97.6,250.4
BOND 2005 Pluribus Red (Napa Valley),US,California,Napa Valley,Napa,BOND,91.4,275.3
JCB 2012 No. 1 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,JCB,93.4,200.7
Diamond Creek 2013 Volcanic Hill Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Diamond Creek,93.2,225.7
Joseph Phelps 2014 Insignia Estate Grown Red (Napa Valley),US,California,Napa Valley,Napa,Joseph Phelps,96.3,250.1
BOND 2005 St. Eden Red (Napa Valley),US,California,Napa Valley,Napa,BOND,94.2,275.1
Cardinale 2006 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Cardinale,100.2,200.5
Staglin 2007 INEO Red (Napa Valley),US,California,Napa Valley,Napa,Staglin,97.0,250.2
Inglenook 2013 Rubicon Cabernet Sauvignon (Rutherford),US,California,Rutherford,Napa,Inglenook,95.0,211.0
Viader 2010 Red (Napa Valley),US,California,Napa Valley,Napa,Viader,97.6,200.8
Shafer 2012 Hillside Select Cabernet Sauvignon (Stags Leap District),US,California,Stags Leap District,Napa,Shafer,98.7,265.5
Joseph Phelps 2012 Insignia Estate Grown Red (Napa Valley),US,California,Napa Valley,Napa,Joseph Phelps,95.3,240.2
Iron Horse 2003 Joy! Estate Bottled Sparkling (Green Valley),US,California,Green Valley,Sonoma,Iron Horse,98.1,250.1
Stag's Leap Wine Cellars 2013 Cask 23 Estate Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Stag's Leap Wine Cellars,92.5,261.0
Diamond Creek 2011 Volcanic Hill Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Diamond Creek,94.5,200.7
Harlan Estate 1999 Red (Napa Valley),US,California,Napa Valley,Napa,Harlan Estate,96.1,200.9
Diamond Creek 2012 Fortieth Anniversary Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),US,California,Diamond Mountain District,Napa,Diamond Creek,91.5,200.4
Stags' Leap Winery 2012 Estate Grown Audentia Cabernet Sauvignon (Stags Leap District),US,California,Stags Leap District,Napa,Stags' Leap Winery,92.0,200.3
J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),US,California,Diamond Mountain District,Napa,J. Davies,95.4,200.3
Stag's Leap Wine Cellars 2009 Cask 23 Estate Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Stag's Leap Wine Cellars,94.3,210.9
Ramey 2013 Pedregal Vineyard Cabernet Sauvignon (Oakville),US,California,Oakville,Napa,Ramey,95.8,200.5
Paul Hobbs 2007 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Paul Hobbs,94.8,235.7
Pine Ridge 2014 Fortis Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Pine Ridge,90.3,200.8
Alpha Omega 2010 ERA Red (Napa Valley),US,California,Napa Valley,Napa,Alpha Omega,93.6,210.3
Verité 2008 La Joie Red (Sonoma County),US,California,Sonoma County,Sonoma,Verité,94.5,450.1
Hall 2013 The Bishop Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Hall,96.3,325.7
Verité 2006 La Joie Red (Sonoma County),US,California,Sonoma County,Sonoma,Verité,98.1,301.0
Verité 2007 La Muse Red (Sonoma County),US,California,Sonoma County,Sonoma,Verité,100.3,451.0
Verité 2008 Le Desir Red (Sonoma County),US,California,Sonoma County,Sonoma,Verité,97.5,450.5
Clos du Val 2009 JG's Joie du Vin Cabernet Sauvignon (Stags Leap District),US,California,Stags Leap District,Napa,Clos du Val,96.7,400.6
Bryant Family 2009 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Bryant Family,96.3,335.7
Alpha Omega 2012 ERA Red (Napa Valley),US,California,Napa Valley,Napa,Alpha Omega,99.6,300.9
Hundred Acre 2008 Few and Far Between Vineyard Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Hundred Acre,94.2,300.2
Hall 2012 The Bishop Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Hall,95.7,325.4
